id_maquina,temperatura_c,vibracao_mm_s,corrente_a,horas_operacao,falha_comunicacao,status
1,58.2,2.1,8.4,1200,nao,normal
2,60.1,2.4,8.7,1320,nao,normal
3,61.5,2.7,8.9,1410,nao,normal
4,63.0,2.5,9.1,1550,nao,normal
5,59.4,2.2,8.6,1640,nao,normal
6,64.2,3.0,9.4,1780,nao,normal
7,65.1,3.2,9.6,1850,nao,normal
8,62.7,2.8,9.0,1930,nao,normal
9,66.3,3.4,9.8,2050,nao,normal
10,67.0,3.6,10.0,2160,nao,normal
11,64.9,,9.5,2240,nao,normal
12,66.8,3.5,9.9,2380,nao,normal
13,68.1,3.8,10.2,2490,nao,normal
14,69.0,4.0,10.5,2620,nao,normal
15,,3.7,10.1,2710,nao,normal
16,70.2,4.2,10.7,2850,nao,normal
17,71.0,4.4,10.9,2960,nao,normal
18,69.8,4.1,10.6,3080,nao,normal
19,72.4,4.6,11.1,3190,nao,normal
20,73.0,4.8,11.3,3310,nao,normal
21,76.2,5.8,12.0,3450,nao,risco
22,77.5,6.1,12.3,3580,nao,risco
23,78.1,6.4,12.6,3690,nao,risco
24,79.0,6.8,12.8,3820,sim,risco
25,80.2,7.1,13.0,3950,nao,risco
26,81.5,,13.4,4080,sim,risco
27,82.0,7.7,13.7,4210,nao,risco
28,83.3,8.1,14.0,4330,sim,risco
29,84.0,8.5,14.4,4470,nao,risco
30,85.2,9.0,14.7,4590,sim,risco
31,75.8,5.5,11.8,4720,nao,risco
32,78.7,6.6,12.7,4860,nao,risco
33,81.0,7.4,13.3,4990,sim,risco
34,,8.0,13.9,5120,nao,risco
35,86.1,9.4,15.1,5250,sim,risco
36,74.8,5.2,11.6,5370,nao,risco
37,68.5,3.9,10.4,5480,nao,normal
38,72.0,4.5,11.0,5590,nao,normal
39,77.0,6.0,12.2,5710,sim,risco
40,65.8,3.3,9.7,5830,nao,normal
