id_lote,linha,turno,fornecedor,resultado_inspecao
2001,linha c,manhã,fornecedor b,conforme
2002,linha c,tarde,fornecedor a,retrabalho
2003,linha c,tarde,fornecedor a,retrabalho
2004,linha b,manhã,fornecedor c,conforme
2005,linha a,tarde,fornecedor b,retrabalho
2006,linha b,tarde,fornecedor b,conforme
2007,linha a,tarde,fornecedor b,conforme
2008,linha c,tarde,fornecedor b,retrabalho
2009,linha c,tarde,fornecedor a,retrabalho
2010,linha b,manhã,fornecedor a,retrabalho
2011,linha c,tarde,fornecedor a,retrabalho
2012,linha b,manhã,fornecedor c,retrabalho
2013,linha a,noite,fornecedor a,conforme
2014,linha a,tarde,fornecedor a,conforme
2015,linha a,tarde,fornecedor c,conforme
2016,linha c,manhã,fornecedor b,conforme
2017,linha c,noite,fornecedor b,retrabalho
2018,linha a,manhã,fornecedor c,conforme
2019,linha a,manhã,fornecedor b,conforme
2020,linha c,noite,fornecedor b,conforme
2021,linha b,manhã,desconhecido,conforme
2022,linha c,manhã,fornecedor a,retrabalho
2023,linha c,manhã,fornecedor c,conforme
2024,linha a,tarde,fornecedor a,conforme
2025,linha a,tarde,fornecedor a,conforme
2026,linha b,tarde,fornecedor c,retrabalho
2027,linha c,noite,fornecedor c,retrabalho
2028,linha b,noite,fornecedor a,conforme
2029,linha c,noite,fornecedor c,conforme
2030,linha c,tarde,fornecedor a,retrabalho
2031,linha a,noite,fornecedor a,retrabalho
2032,linha c,manhã,fornecedor b,conforme
2033,linha a,tarde,fornecedor a,conforme
2034,linha a,manhã,fornecedor b,conforme
2035,linha b,noite,fornecedor c,retrabalho
2036,linha c,tarde,fornecedor b,conforme
2037,linha a,noite,fornecedor a,conforme
2038,linha c,tarde,fornecedor c,retrabalho
2039,linha a,tarde,fornecedor a,conforme
2040,linha c,noite,fornecedor b,conforme
2041,linha a,noite,fornecedor a,conforme
2042,linha c,noite,fornecedor c,retrabalho
2043,linha a,tarde,fornecedor a,retrabalho
2044,linha c,manhã,fornecedor c,conforme
2045,linha a,manhã,fornecedor b,conforme
2046,linha c,tarde,fornecedor c,conforme
2047,linha b,manhã,fornecedor b,retrabalho
2048,linha c,manhã,fornecedor a,conforme
2049,linha c,tarde,fornecedor a,retrabalho
2050,linha c,noite,fornecedor b,conforme
2051,linha c,noite,fornecedor b,conforme
2052,linha b,manhã,fornecedor b,conforme
2053,linha c,manhã,fornecedor a,conforme
2054,linha c,manhã,fornecedor c,retrabalho
2055,linha b,tarde,fornecedor b,conforme
2056,linha a,noite,fornecedor c,retrabalho
2057,linha b,manhã,fornecedor a,conforme
2058,linha c,manhã,fornecedor b,conforme
2059,linha b,noite,fornecedor b,conforme
2060,linha c,tarde,fornecedor a,conforme
2061,linha a,manhã,fornecedor a,conforme
2062,linha b,manhã,fornecedor c,retrabalho
2063,linha c,tarde,fornecedor a,retrabalho
2064,linha c,tarde,fornecedor b,retrabalho
2065,linha c,tarde,fornecedor a,conforme
2066,linha b,tarde,fornecedor b,conforme
2067,linha b,manhã,fornecedor a,conforme
2068,linha a,tarde,fornecedor b,retrabalho
2069,linha a,noite,fornecedor c,conforme
2070,linha c,noite,fornecedor b,retrabalho
2071,linha a,noite,fornecedor a,conforme
2072,linha c,manhã,fornecedor b,conforme
2073,linha a,desconhecido,fornecedor b,conforme
2074,linha a,noite,fornecedor c,retrabalho
2075,linha b,manhã,fornecedor b,conforme
2076,linha c,tarde,fornecedor a,retrabalho
2077,linha c,tarde,fornecedor a,retrabalho
2078,linha b,manhã,fornecedor b,conforme
2079,linha b,tarde,fornecedor b,retrabalho
2080,linha a,tarde,fornecedor a,conforme
2081,linha c,manhã,fornecedor b,conforme
2082,linha c,noite,fornecedor b,retrabalho
2083,linha c,manhã,fornecedor a,conforme
2084,linha b,manhã,desconhecido,retrabalho
2085,linha a,tarde,fornecedor b,conforme
2086,linha a,tarde,fornecedor a,conforme
2087,linha a,manhã,fornecedor b,conforme
2088,linha b,manhã,fornecedor b,conforme
2089,linha a,tarde,fornecedor a,conforme
2090,linha c,tarde,fornecedor a,retrabalho
2091,linha b,noite,fornecedor b,conforme
2092,linha b,noite,fornecedor a,conforme
2093,linha a,tarde,fornecedor a,conforme
2094,linha b,tarde,fornecedor b,conforme
2095,linha a,noite,fornecedor b,conforme
2096,linha b,manhã,fornecedor b,conforme
