id_lote,real,previsto,acertou
2008,retrabalho,retrabalho,True
2083,conforme,retrabalho,False
2048,conforme,conforme,True
2039,conforme,conforme,True
2040,conforme,conforme,True
2010,retrabalho,retrabalho,True
2061,conforme,conforme,True
2031,retrabalho,conforme,False
2082,retrabalho,retrabalho,True
2065,conforme,conforme,True
2069,conforme,conforme,True
2058,conforme,conforme,True
2085,conforme,conforme,True
2025,conforme,conforme,True
2043,retrabalho,retrabalho,True
2033,conforme,conforme,True
2003,retrabalho,retrabalho,True
2006,conforme,conforme,True
2020,conforme,conforme,True
2036,conforme,conforme,True
2012,retrabalho,retrabalho,True
2042,retrabalho,retrabalho,True
2016,conforme,conforme,True
2086,conforme,conforme,True
