id_lote,linha,turno,fornecedor,temp_forno_c,tempo_ciclo_s,pressao_bar,umidade_pct,resultado_inspecao
2001,linha c,manhã,fornecedor b,189.1,49.7,7.09,57.9,conforme
2002,linha c,tarde,fornecedor a,190.9,52.8,6.8,48.2,retrabalho
2003,linha c,tarde,fornecedor a,186.2,56.9,6.51,40.5,retrabalho
2004,linha b,manhã,fornecedor c,186.2,44.9,6.97,59.2,conforme
2005,linha a,tarde,fornecedor b,192.7,42.2,5.7,40.4,retrabalho
2006,linha b,tarde,fornecedor b,190.5,44.0,6.46,51.3,conforme
2007,linha a,tarde,fornecedor b,187.4,40.4,6.09,59.9,conforme
2008,linha c,tarde,fornecedor b,188.2,54.1,6.73,56.2,retrabalho
2009,linha c,tarde,fornecedor a,182.8,54.6,7.28,54.0,retrabalho
2010,linha b,manhã,fornecedor a,200.3,39.4,6.24,61.7,retrabalho
2011,linha c,tarde,fornecedor a,189.2,53.4,6.45,61.5,retrabalho
2012,linha b,manhã,fornecedor c,194.0,47.5,6.28,25.2,retrabalho
2013,linha a,noite,fornecedor a,192.2,46.9,7.05,53.7,conforme
2014,linha a,tarde,fornecedor a,195.0,37.5,6.55,37.0,conforme
2015,linha a,tarde,fornecedor c,192.4,40.3,6.455,47.0,conforme
2016,linha c,manhã,fornecedor b,185.4,45.2,6.54,33.3,conforme
2017,linha c,noite,fornecedor b,185.1,49.2,5.65,78.2,retrabalho
2018,linha a,manhã,fornecedor c,191.2,42.3,6.08,47.4,conforme
2019,linha a,manhã,fornecedor b,179.0,41.8,6.83,38.7,conforme
2020,linha c,noite,fornecedor b,187.1,44.1,6.29,44.6,conforme
2021,linha b,manhã,desconhecido,179.4,48.7,6.54,54.7,conforme
2022,linha c,manhã,fornecedor a,196.0,47.9,6.14,46.2,retrabalho
2023,linha c,manhã,fornecedor c,183.8,44.6,6.43,27.5,conforme
2024,linha a,tarde,fornecedor a,171.5,48.3,7.12,52.3,conforme
2025,linha a,tarde,fornecedor a,188.9,40.1,6.68,58.2,conforme
2026,linha b,tarde,fornecedor c,200.9,47.1,6.38,43.1,retrabalho
2027,linha c,noite,fornecedor c,205.9,44.7,6.51,48.150000000000006,retrabalho
2028,linha b,noite,fornecedor a,193.0,45.1,7.21,45.4,conforme
2029,linha c,noite,fornecedor c,180.0,46.3,6.46,61.6,conforme
2030,linha c,tarde,fornecedor a,188.0,48.5,5.5,50.6,retrabalho
2031,linha a,noite,fornecedor a,189.2,51.2,6.35,46.8,retrabalho
2032,linha c,manhã,fornecedor b,182.9,45.7,6.03,40.3,conforme
2033,linha a,tarde,fornecedor a,184.6,45.6,6.2,37.4,conforme
2034,linha a,manhã,fornecedor b,181.6,42.1,5.98,43.9,conforme
2035,linha b,noite,fornecedor c,184.8,47.1,6.6,39.2,retrabalho
2036,linha c,tarde,fornecedor b,171.5,43.1,7.23,60.7,conforme
2037,linha a,noite,fornecedor a,183.9,48.4,6.12,68.0,conforme
