id_lote,linha,turno,fornecedor,temp_forno_c,tempo_ciclo_s,pressao_bar,umidade_pct,resultado_inspecao
2001,Linha C,manha,Forn B,189.1,49.7,7.09,57.9, conforme 
2002, linha c ,TARDE, forn a ,190.9,52.8,6.8,48.2,Retrabalho
2003, linha c ,Tarde,Forn A,186.2,56.9,6.51,40.5,RETRABALHO
2004,LINHA B,Manhã, forn c ,186.2,44.9,6.97,59.2,Conforme
2005,Linha a, tarde ,Fornecedor B,192.7,42.2,5.7,40.4,retrabalho
2006,LINHA B, tarde , FORN B ,190.5,44.0,6.46,51.3,Conforme
2007,linha a,TARDE,fornecedor b,187.4,40.4,6.09,59.9,CONFORME
2008, linha c , tarde ,Fornecedor B,,54.1,6.73,56.2,Retrabalho
2009,linha c,tarde,Forn A,182.8,54.6,7.28,54.0,Retrabalho
2010, linha B ,Manhã,fornecedor a,200.3,39.4,6.24,61.7,Retrabalho
2011, linha c ,Tarde,fornecedor a,189.2,53.4,6.45,61.5, retrabalho 
2012,LINHA B,MANHÃ, forn c ,194.0,47.5,6.28,25.2, retrabalho 
2013,Linha a,noite, forn a ,192.2,46.9,7.05,53.7,conforme
2014,Linha a,tarde,fornecedor a,195.0,37.5,6.55,37.0,Conforme
2015, LINHA A , tarde ,Forn C,192.4,40.3,,47.0,CONFORME
2016,Linha C,MANHÃ,Forn B,185.4,45.2,6.54,33.3, conforme 
2017,linha c, noite , FORN B ,185.1,49.2,5.65,78.2,RETRABALHO
2018, LINHA A , manha , forn c ,191.2,42.3,6.08,47.4,CONFORME
2019,linha a,manha, FORN B ,179.0,41.8,6.83,38.7,conforme
2020, linha c ,Noite,Forn B,187.1,44.1,6.29,44.6, conforme 
2021, linha B , manha ,,179.4,48.7,6.54,54.7, conforme 
2022,Linha C,manha,Forn A,196.0,47.9,6.14,46.2,Retrabalho
2023, linha c ,Manhã, forn c ,183.8,44.6,6.43,27.5,Conforme
2024,linha a, tarde ,fornecedor a,171.5,48.3,7.12,52.3,Conforme
2025,Linha a,TARDE,Forn A,188.9,40.1,6.68,58.2, conforme 
2026,Linha B,TARDE, forn c ,200.9,47.1,6.38,43.1,RETRABALHO
2027, linha c ,Noite,Fornecedor C,205.9,44.7,6.51,,retrabalho
2028,LINHA B,noite,Fornecedor A,193.0,45.1,7.21,45.4, conforme 
2029,Linha C,Noite, forn c ,180.0,46.3,6.46,61.6,conforme
2030,LINHA C,Tarde,Fornecedor A,188.0,48.5,5.5,50.6,RETRABALHO
2031,Linha A,NOITE,Forn A,189.2,51.2,6.35,46.8,RETRABALHO
2032, linha c ,manha,fornecedor b,182.9,,6.03,40.3, conforme 
2033,linha a,tarde,fornecedor a,184.6,45.6,6.2,37.4,Conforme
2034,Linha a,manha, FORN B ,181.6,42.1,5.98,43.9,conforme
2035,linha b, noite ,Forn C,184.8,47.1,6.6,39.2, retrabalho 
2036,LINHA C,Tarde, FORN B ,171.5,43.1,7.23,60.7,CONFORME
2037,linha a,Noite, forn a ,183.9,48.4,6.12,68.0,CONFORME
2038,LINHA C, tarde ,Forn C,194.0,45.2,5.93,51.1, retrabalho 
2039, LINHA A ,tarde, forn a ,310.0,36.7,6.44,47.7, conforme 
2040,Linha C,noite, FORN B ,194.4,43.3,6.64,58.6,CONFORME
2041, LINHA A ,NOITE,Fornecedor A,185.0,47.3,6.68,31.6, conforme 
2042,LINHA C,Noite,Fornecedor C,192.4,52.0,6.34,47.5, retrabalho 
2043, LINHA A ,tarde,Forn A,198.1,39.2,7.04,31.9,retrabalho
2044,linha c,MANHÃ,fornecedor c,195.6,44.2,6.45,35.8,Conforme
2045,Linha A,MANHÃ, FORN B ,179.8,-5.0,7.2,55.0,Conforme
2046,LINHA C,tarde,Fornecedor C,173.6,44.3,7.14,66.3,CONFORME
2047,LINHA B, manha ,fornecedor b,177.0,50.2,5.31,59.3,retrabalho
2048,linha c,MANHÃ,Forn A,180.1,49.4,6.74,31.3,conforme
2049,LINHA C, tarde ,Forn A,199.7,50.1,6.31,55.4,RETRABALHO
